Tabelle: 12211-0003
Population, persons in employment, unemployed persons, econ.;;;;;;;
active population, econ. inactive pop. from prim. res. hh.:;;;;;;;
Germany, years, sex, size classes pers. monthly net income;;;;;;;
Microcensus;;;;;;;;;;;;
Germany;;;;;;;;;;;;
;;;Population in primary residence households;;Persons in employment from primary residence hh.;;Unemployed persons from primary residence hh.;;Economically active population from prim.resid.hh.;;Economically inactive population fr.prim.resid.hh.;
;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2020;Male;No income;5548;e;64;e;96;e;160;e;5388;e
;;Less than EUR 500;3620;e;708;e;230;e;938;e;2682;e
;;EUR 500 to less than EUR 1000;3893;e;1613;e;344;e;1957;e;1935;e
;;EUR 1000 to less than EUR 1250;2518;e;1066;e;97;e;1163;e;1356;e
;;EUR 1250 to less than EUR 1500;2771;e;1471;e;58;e;1529;e;1242;e
;;EUR 1500 to less than EUR 1750;3014;e;1879;e;42;e;1921;e;1092;e
;;EUR 1750 to less than EUR 2000;3264;e;2310;e;30;e;2340;e;924;e
;;EUR 2000 to less than EUR 2500;5747;e;4488;e;39;e;4527;e;1220;e
;;EUR 2500 to less than EUR 3000;3327;e;2714;e;19;e;2732;e;595;e
;;EUR 3000 to less than EUR 3500;2254;e;1847;e;/;;1853;e;400;e
;;EUR 3500 or more;4398;e;3846;e;/;;3856;e;543;e
;;Not specified;292;e;136;e;/;;144;e;148;e
;;Total;40646;e;22141;e;980;e;23121;e;17525;e
;Female;No income;6541;e;106;e;103;e;209;e;6333;e
;;Less than EUR 500;6103;e;1723;e;170;e;1893;e;4210;e
;;EUR 500 to less than EUR 1000;7346;e;3191;e;243;e;3434;e;3912;e
;;EUR 1000 to less than EUR 1250;4401;e;2347;e;71;e;2418;e;1983;e
;;EUR 1250 to less than EUR 1500;3555;e;2120;e;40;e;2161;e;1395;e
;;EUR 1500 to less than EUR 1750;3058;e;1970;e;23;e;1993;e;1065;e
;;EUR 1750 to less than EUR 2000;2669;e;1903;e;14;();1917;e;751;e
;;EUR 2000 to less than EUR 2500;3683;e;2838;e;16;();2855;e;828;e
;;EUR 2500 to less than EUR 3000;1700;e;1330;e;/;;1335;e;365;e
;;EUR 3000 to less than EUR 3500;974;e;793;e;/;;795;e;178;e
;;EUR 3500 or more;1200;e;999;e;/;;1002;e;199;e
;;Not specified;297;e;100;e;/;;106;e;190;e
;;Total;41528;e;19421;e;697;e;20118;e;21410;e
;Total;No income;12089;e;170;e;199;e;369;e;11720;e
;;Less than EUR 500;9723;e;2431;e;400;e;2831;e;6892;e
;;EUR 500 to less than EUR 1000;11239;e;4804;e;588;e;5391;e;5848;e
;;EUR 1000 to less than EUR 1250;6919;e;3413;e;168;e;3581;e;3338;e
;;EUR 1250 to less than EUR 1500;6326;e;3591;e;98;e;3689;e;2637;e
;;EUR 1500 to less than EUR 1750;6072;e;3849;e;66;e;3915;e;2157;e
;;EUR 1750 to less than EUR 2000;5933;e;4213;e;44;e;4257;e;1676;e
;;EUR 2000 to less than EUR 2500;9430;e;7327;e;56;e;7382;e;2048;e
;;EUR 2500 to less than EUR 3000;5027;e;4043;e;23;e;4067;e;960;e
;;EUR 3000 to less than EUR 3500;3227;e;2641;e;/;;2649;e;579;e
;;EUR 3500 or more;5599;e;4845;e;12;();4858;e;741;e
;;Not specified;589;e;235;e;15;();251;e;338;e
;;Total;82175;e;41562;e;1677;e;43239;e;38935;e
2021;Male;No income;5919;e;67;e;90;e;156;e;5762;e
;;Less than EUR 500;3130;e;686;e;187;e;873;e;2257;e
;;EUR 500 to less than EUR 1000;3687;e;1484;e;287;e;1771;e;1916;e
;;EUR 1000 to less than EUR 1250;2456;e;1031;e;84;e;1115;e;1342;e
;;EUR 1250 to less than EUR 1500;2620;e;1367;e;57;e;1424;e;1196;e
;;EUR 1500 to less than EUR 1750;2915;e;1786;e;42;e;1828;e;1087;e
;;EUR 1750 to less than EUR 2000;3131;e;2219;e;37;e;2256;e;875;e
;;EUR 2000 to less than EUR 2500;5758;e;4455;e;50;e;4505;e;1253;e
;;EUR 2500 to less than EUR 3000;3344;e;2724;e;24;e;2748;e;596;e
;;EUR 3000 to less than EUR 3500;2296;e;1893;e;9;();1902;e;395;e
;;EUR 3500 or more;4529;e;3965;e;14;e;3978;e;551;e
;;Not specified;247;e;126;e;8;();134;e;113;e
;;Total;40034;e;21803;e;887;e;22690;e;17344;e
;Female;No income;6970;e;113;e;104;e;217;e;6753;e
;;Less than EUR 500;5324;e;1642;e;131;e;1773;e;3551;e
;;EUR 500 to less than EUR 1000;6991;e;2959;e;215;e;3173;e;3818;e
;;EUR 1000 to less than EUR 1250;4304;e;2212;e;66;e;2278;e;2026;e
