Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
CNN1D,Uni,noExog,Fold1,108887.48,329.98,135.31,0.8048,64.96%
CNN1D,Uni,noExog,Fold2,109589.15,331.04,136.54,0.7814,80.17%
CNN1D,Uni,noExog,Fold3,53795.70,231.94,98.17,0.8976,72.64%
CNN1D,Uni,noExog,Average,90757.44 ± 32127.70,297.65 ± 54.04,123.34 ± 20.41,0.8279 ± 0.0598,72.60% ± 7.70%
CNN1D,Uni,Exog,Fold1,115663.77,340.09,147.36,0.7927,81.25%
CNN1D,Uni,Exog,Fold2,143531.25,378.86,166.60,0.7137,86.59%
CNN1D,Uni,Exog,Fold3,79262.36,281.54,115.57,0.8491,77.86%
CNN1D,Uni,Exog,Average,112819.13 ± 33455.22,333.50 ± 50.55,143.18 ± 25.99,0.7852 ± 0.0707,81.91% ± 4.50%
CNN1D,Multi,noExog,Fold1,63524.60,252.04,110.37,0.8741,62.13%
CNN1D,Multi,noExog,Fold2,53075.31,230.38,101.68,0.8828,85.34%
CNN1D,Multi,noExog,Fold3,49273.36,221.98,92.98,0.8987,80.40%
CNN1D,Multi,noExog,Average,55291.09 ± 7379.48,234.80 ± 15.51,101.68 ± 8.70,0.8852 ± 0.0125,75.96% ± 12.23%
CNN1D,Multi,Exog,Fold1,143773.92,379.18,320.05,0.7151,128.33%
CNN1D,Multi,Exog,Fold2,74069.35,272.16,121.63,0.8364,96.06%
CNN1D,Multi,Exog,Fold3,100965.59,317.75,265.03,0.7924,125.83%
CNN1D,Multi,Exog,Average,106269.62 ± 35153.68,323.03 ± 53.70,235.57 ± 102.44,0.7813 ± 0.0614,116.74% ± 17.95%
