Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
GRU,Uni,noExog,Fold1,87873.62,296.43,123.32,0.8425,75.95%
GRU,Uni,noExog,Fold2,98669.52,314.12,119.67,0.8032,73.65%
GRU,Uni,noExog,Fold3,60667.18,246.31,96.98,0.8845,63.45%
GRU,Uni,noExog,Average,82403.44 ± 19267.84,285.62 ± 34.40,113.33 ± 13.23,0.8434 ± 0.0386,71.35% ± 6.38%
GRU,Uni,Exog,Fold1,77370.29,278.16,121.70,0.8613,68.44%
GRU,Uni,Exog,Fold2,90845.45,301.41,126.08,0.8188,77.43%
GRU,Uni,Exog,Fold3,63616.36,252.22,102.56,0.8789,65.92%
GRU,Uni,Exog,Average,77610.71 ± 13794.79,277.26 ± 25.10,116.81 ± 12.40,0.8530 ± 0.0316,70.60% ± 5.99%
GRU,Multi,noExog,Fold1,61047.46,247.08,106.79,0.8790,58.79%
GRU,Multi,noExog,Fold2,54456.84,233.36,100.93,0.8797,58.18%
GRU,Multi,noExog,Fold3,51351.28,226.61,94.93,0.8944,86.47%
GRU,Multi,noExog,Average,55618.53 ± 4951.37,235.68 ± 10.43,100.89 ± 5.93,0.8844 ± 0.0087,67.82% ± 16.16%
GRU,Multi,Exog,Fold1,222737.09,471.95,227.61,0.5586,116.32%
GRU,Multi,Exog,Fold2,220260.35,469.32,225.71,0.5136,142.46%
GRU,Multi,Exog,Fold3,150746.09,388.26,173.39,0.6900,119.88%
GRU,Multi,Exog,Average,197914.51 ± 40867.82,443.18 ± 47.58,208.91 ± 30.77,0.5874 ± 0.0917,126.22% ± 14.18%
