Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
LSTM,Uni,noExog,Fold1,100792.88,317.48,130.41,0.8193,70.12%
LSTM,Uni,noExog,Fold2,137464.00,370.76,130.90,0.7258,71.65%
LSTM,Uni,noExog,Fold3,55113.90,234.76,96.53,0.8951,61.23%
LSTM,Uni,noExog,Average,97790.59 ± 41529.98,307.67 ± 68.45,119.28 ± 17.63,0.8134 ± 0.0882,67.67% ± 5.48%
LSTM,Uni,Exog,Fold1,114931.87,339.02,136.48,0.7940,67.96%
LSTM,Uni,Exog,Fold2,109763.32,331.31,138.61,0.7810,79.68%
LSTM,Uni,Exog,Fold3,54919.48,234.35,96.98,0.8954,73.14%
LSTM,Uni,Exog,Average,93204.89 ± 32142.54,301.56 ± 57.35,124.02 ± 22.41,0.8235 ± 0.0582,73.60% ± 5.93%
LSTM,Multi,noExog,Fold1,60917.25,246.81,105.27,0.8793,59.96%
LSTM,Multi,noExog,Fold2,52741.32,229.65,100.43,0.8835,69.61%
LSTM,Multi,noExog,Fold3,48601.75,220.46,91.48,0.9001,53.53%
LSTM,Multi,noExog,Average,54086.77 ± 6267.02,232.31 ± 13.38,99.06 ± 7.00,0.8876 ± 0.0110,61.03% ± 8.10%
LSTM,Multi,Exog,Fold1,192022.05,438.20,208.26,0.6195,126.61%
LSTM,Multi,Exog,Fold2,90326.60,300.54,193.82,0.8005,116.41%
LSTM,Multi,Exog,Fold3,67391.33,259.60,115.98,0.8614,101.07%
LSTM,Multi,Exog,Average,116579.99 ± 66333.51,332.78 ± 93.56,172.69 ± 49.64,0.7605 ± 0.1259,114.70% ± 12.85%
