Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
MLP,Uni,noExog,Fold1,96336.24,310.38,136.16,0.8273,83.44%
MLP,Uni,noExog,Fold2,87382.66,295.61,127.25,0.8257,77.51%
MLP,Uni,noExog,Fold3,62290.40,249.58,103.11,0.8814,70.92%
MLP,Uni,noExog,Average,82003.10 ± 17426.02,285.20 ± 31.17,122.18 ± 16.79,0.8448 ± 0.0315,77.29% ± 6.46%
MLP,Uni,Exog,Fold1,125825.21,354.72,144.98,0.7744,81.81%
MLP,Uni,Exog,Fold2,126342.88,355.45,147.74,0.7480,78.42%
MLP,Uni,Exog,Fold3,72325.35,268.93,105.04,0.8623,75.62%
MLP,Uni,Exog,Average,108164.48 ± 31071.59,326.37 ± 49.01,132.59 ± 22.57,0.7949 ± 0.0596,78.62% ± 3.11%
MLP,Multi,noExog,Fold1,56527.62,237.76,106.15,0.8880,87.83%
MLP,Multi,noExog,Fold2,50669.06,225.10,100.61,0.8881,83.89%
MLP,Multi,noExog,Fold3,48325.29,219.83,93.74,0.9006,86.13%
MLP,Multi,noExog,Average,51840.65 ± 4224.81,227.56 ± 9.21,100.17 ± 6.22,0.8922 ± 0.0073,85.95% ± 1.97%
MLP,Multi,Exog,Fold1,119352.35,345.47,180.57,0.7635,117.66%
MLP,Multi,Exog,Fold2,80240.07,283.27,204.55,0.8228,120.10%
MLP,Multi,Exog,Fold3,137209.79,370.42,334.73,0.7179,131.35%
MLP,Multi,Exog,Average,112267.40 ± 29219.28,333.04 ± 44.72,239.95 ± 82.63,0.7681 ± 0.0526,123.04% ± 7.10%
