Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
RNN,Uni,noExog,Fold1,90146.77,300.24,123.29,0.8384,68.94%
RNN,Uni,noExog,Fold2,72547.65,269.35,116.39,0.8553,68.59%
RNN,Uni,noExog,Fold3,68480.28,261.69,106.51,0.8696,64.13%
RNN,Uni,noExog,Average,77058.23 ± 11088.68,277.10 ± 19.82,115.40 ± 8.50,0.8544 ± 0.0156,67.22% ± 2.51%
RNN,Uni,Exog,Fold1,128578.29,358.58,147.06,0.7695,81.30%
RNN,Uni,Exog,Fold2,88872.45,298.11,120.67,0.8227,73.16%
RNN,Uni,Exog,Fold3,80924.97,284.47,106.19,0.8459,73.77%
RNN,Uni,Exog,Average,99458.57 ± 26155.92,313.72 ± 41.32,124.64 ± 20.51,0.8127 ± 0.0386,76.08% ± 4.77%
RNN,Multi,noExog,Fold1,65033.20,255.02,105.17,0.8711,83.86%
RNN,Multi,noExog,Fold2,59006.86,242.91,108.03,0.8697,90.52%
RNN,Multi,noExog,Fold3,53933.09,232.23,93.24,0.8891,55.90%
RNN,Multi,noExog,Average,59324.38 ± 5556.86,243.39 ± 11.40,102.15 ± 7.84,0.8766 ± 0.0108,76.76% ± 18.37%
RNN,Multi,Exog,Fold1,268096.69,517.78,469.42,0.4687,137.12%
RNN,Multi,Exog,Fold2,96562.47,310.75,234.98,0.7868,123.31%
RNN,Multi,Exog,Fold3,63557.92,252.11,97.96,0.8693,80.31%
RNN,Multi,Exog,Average,142739.03 ± 109809.98,360.21 ± 139.57,267.45 ± 187.85,0.7083 ± 0.2115,113.58% ± 29.62%
