ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,64.88842738902125,>40%
ALFA ROMEO_GIULIA_Diesel,80.59845264394013,>40%
ALFA ROMEO_GIULIA_Petrol,69.52668938127864,>40%
ALFA ROMEO_GIULIA_Total,53.884341458510306,>40%
ALFA ROMEO_STELVIO_All_Wheel_Drive,61.753914633469854,>40%
ALFA ROMEO_STELVIO_Diesel,52.379053811817,>40%
ALFA ROMEO_STELVIO_Petrol,50.75624189924382,>40%
ALFA ROMEO_STELVIO_Total,36.336736230377056,30-40%
ALFA ROMEO_TONALE_All_Wheel_Drive,118.49227326487002,>40%
ALFA ROMEO_TONALE_Diesel,74.69280452213226,>40%
ALFA ROMEO_TONALE_Hybrid,38.22060214835073,30-40%
ALFA ROMEO_TONALE_Total,25.63054710433755,20-30%
ALPINE_A110_Petrol,50.30943623171108,>40%
ALPINE_A110_Total,65.08090887636577,>40%
ASTON MARTIN_DBX_All_Wheel_Drive,129.67923919198014,>40%
ASTON MARTIN_DBX_Petrol,121.62816191381434,>40%
ASTON MARTIN_DBX_Total,132.57603149734737,>40%
AUDI_A1_Petrol,21.24595165209365,20-30%
AUDI_A1_Total,14.435124077073153,10-20%
AUDI_A3_All_Wheel_Drive,41.040844405054486,>40%
AUDI_A3_Diesel,18.40058146346839,10-20%
AUDI_A3_Hybrid,29.568070236563376,20-30%
AUDI_A3_Petrol,29.08825958433213,20-30%
AUDI_A3_Total,55.63025193735679,>40%
AUDI_A4_All_Wheel_Drive,88.69926593170727,>40%
AUDI_A4_Hybrid,74.46209026913485,>40%
AUDI_A4_Petrol,106.41048011523004,>40%
AUDI_A4_Total,69.2675276438286,>40%
AUDI_A5_All_Wheel_Drive,18.38095809200345,10-20%
AUDI_A5_Convertibles,58.783362166808,>40%
AUDI_A5_Diesel,200.0,>40%
AUDI_A5_Hybrid,28.483989964904836,20-30%
AUDI_A5_Petrol,88.03382913026955,>40%
AUDI_A5_Total,60.35002517615179,>40%
AUDI_A6_All_Wheel_Drive,53.26745844982222,>40%
AUDI_A6_Diesel,143.1710305719796,>40%
AUDI_A6_Electric_BEV,118.23070005365454,>40%
AUDI_A6_Hybrid,48.88159208967816,>40%
AUDI_A6_Petrol,162.54965496067084,>40%
AUDI_A6_Total,67.90696739661509,>40%
AUDI_A7_All_Wheel_Drive,31.211920614938776,30-40%
AUDI_A7_Hybrid,26.362327276496682,20-30%
AUDI_A7_Petrol,133.33333333333331,>40%
AUDI_A7_Total,35.17722112687966,30-40%
AUDI_A8_All_Wheel_Drive,35.198629501735226,30-40%
AUDI_A8_Hybrid,35.32630987856564,30-40%
AUDI_A8_Petrol,200.0,>40%
AUDI_A8_Total,34.963249918503344,30-40%
AUDI_E-TRON GT_All_Wheel_Drive,37.245814353588564,30-40%
AUDI_E-TRON GT_Electric_BEV,52.920602617061604,>40%
AUDI_E-TRON GT_Total,33.10329200168262,30-40%
AUDI_Q2_All_Wheel_Drive,31.64526104578857,30-40%
AUDI_Q2_Diesel,33.43069971423346,30-40%
AUDI_Q2_Petrol,17.986226737937173,10-20%
AUDI_Q2_Total,20.411914568347974,20-30%
AUDI_Q3_All_Wheel_Drive,32.09661749807489,30-40%
AUDI_Q3_Diesel,38.43255721753063,30-40%
AUDI_Q3_Hybrid,141.4802841900142,>40%
AUDI_Q3_Petrol,37.05752811657101,30-40%
AUDI_Q3_Total,36.98660953851077,30-40%
AUDI_Q4_All_Wheel_Drive,38.200402592038245,30-40%
AUDI_Q4_Electric_BEV,58.0718523782334,>40%
AUDI_Q4_Total,58.70692419648541,>40%
AUDI_Q5_All_Wheel_Drive,37.97818622889591,30-40%
AUDI_Q5_Diesel,200.0,>40%
AUDI_Q5_Hybrid,30.778297120407117,30-40%
AUDI_Q5_Petrol,200.0,>40%
AUDI_Q5_Total,37.867132574123644,30-40%
AUDI_Q6_All_Wheel_Drive,35.19099818302215,30-40%
AUDI_Q6_Electric_BEV,41.08291125343551,>40%
AUDI_Q6_Total,44.10194652933372,>40%
AUDI_Q7_All_Wheel_Drive,21.638441620719338,20-30%
AUDI_Q7_Diesel,133.33333333333331,>40%
AUDI_Q7_Hybrid,22.742261012735355,20-30%
AUDI_Q7_Petrol,27.949634524287397,20-30%
AUDI_Q7_Total,19.410109791567944,10-20%
AUDI_Q8_All_Wheel_Drive,21.578950081048557,20-30%
AUDI_Q8_Diesel,66.66666666666666,>40%
AUDI_Q8_Electric_BEV,68.16783758729512,>40%
AUDI_Q8_Hybrid,32.447868519335586,30-40%
AUDI_Q8_Petrol,52.5228875431501,>40%
AUDI_Q8_Total,23.821790369534646,20-30%
AUDI_R8_All_Wheel_Drive,160.44535546818298,>40%
AUDI_R8_Convertibles,200.0,>40%
AUDI_R8_Petrol,97.907026366672,>40%
AUDI_R8_Total,99.02688770958483,>40%
AUDI_SONSTIGE_All_Wheel_Drive,22.095748649648947,20-30%
AUDI_SONSTIGE_Diesel,38.64943841111172,30-40%
AUDI_SONSTIGE_Electric_BEV,66.66666666666666,>40%
AUDI_SONSTIGE_Hybrid,32.46405624157184,30-40%
AUDI_SONSTIGE_Petrol,15.128223914960156,10-20%
AUDI_SONSTIGE_Total,27.421866165043795,20-30%
AUDI_TT_All_Wheel_Drive,53.69401695745917,>40%
AUDI_TT_Convertibles,66.66666666666666,>40%
AUDI_TT_Petrol,102.32768445724716,>40%
AUDI_TT_Total,72.86196456063189,>40%
BENTLEY_BENTAYGA_All_Wheel_Drive,43.93058843999238,>40%
BENTLEY_BENTAYGA_Hybrid,104.31096656391799,>40%
BENTLEY_BENTAYGA_Petrol,117.07917266415716,>40%
BENTLEY_BENTAYGA_Total,130.2692644943113,>40%
BENTLEY_CONTINENTAL_All_Wheel_Drive,53.402245966369165,>40%
BENTLEY_CONTINENTAL_Convertibles,13.648674884188761,10-20%
BENTLEY_CONTINENTAL_Hybrid,127.61019012204704,>40%
BENTLEY_CONTINENTAL_Petrol,95.94921504013337,>40%
BENTLEY_CONTINENTAL_Total,88.77342907246141,>40%
BMW_1ER_All_Wheel_Drive,62.15125653499328,>40%
BMW_1ER_Diesel,33.0696676284059,30-40%
BMW_1ER_Electric_BEV,133.33333333333331,>40%
BMW_1ER_Hybrid,32.41555016814153,30-40%
BMW_1ER_Petrol,25.89818626242961,20-30%
BMW_1ER_Total,45.47943485116869,>40%
BMW_2ER_All_Wheel_Drive,22.233319341350946,20-30%
BMW_2ER_Diesel,24.243703565843823,20-30%
BMW_2ER_Hybrid,71.63250430618095,>40%
BMW_2ER_Petrol,13.198489243172745,10-20%
BMW_2ER_Total,29.163337388148474,20-30%
BMW_3ER_All_Wheel_Drive,25.618034815812663,20-30%
BMW_3ER_Diesel,0.0,<10%
BMW_3ER_Hybrid,35.409137757402235,30-40%
BMW_3ER_Petrol,18.528156820352333,10-20%
BMW_3ER_Total,42.32710887554439,>40%
BMW_4ER_All_Wheel_Drive,40.62635365631589,>40%
BMW_4ER_Convertibles,82.12113414536758,>40%
BMW_4ER_Electric_BEV,36.661687857038785,30-40%
BMW_4ER_Hybrid,67.05650622345635,>40%
BMW_4ER_Petrol,58.71810176696663,>40%
BMW_4ER_Total,52.35135439580776,>40%
BMW_5ER_All_Wheel_Drive,37.23210638319771,30-40%
BMW_5ER_Electric_BEV,20.958889082143877,20-30%
