ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,30.26451580914947,30-40%
ALFA ROMEO_GIULIA_Diesel,77.11247816456225,>40%
ALFA ROMEO_GIULIA_Petrol,40.156974121973505,>40%
ALFA ROMEO_GIULIA_Total,20.34332937868881,20-30%
ALFA ROMEO_STELVIO_All_Wheel_Drive,12.790853669401924,10-20%
ALFA ROMEO_STELVIO_Diesel,91.06145888824673,>40%
ALFA ROMEO_STELVIO_Petrol,10.748426992415933,10-20%
ALFA ROMEO_STELVIO_Total,5.073323997266624,<10%
ALFA ROMEO_TONALE_All_Wheel_Drive,143.580160132716,>40%
ALFA ROMEO_TONALE_Diesel,117.14525171434373,>40%
ALFA ROMEO_TONALE_Hybrid,55.56026709127174,>40%
ALFA ROMEO_TONALE_Total,52.18578838919953,>40%
ALPINE_A110_Petrol,79.6596026823092,>40%
ALPINE_A110_Total,82.86296157169156,>40%
ASTON MARTIN_DBX_All_Wheel_Drive,200.0,>40%
ASTON MARTIN_DBX_Petrol,200.0,>40%
ASTON MARTIN_DBX_Total,200.0,>40%
AUDI_A1_Petrol,15.207568371495627,10-20%
AUDI_A1_Total,19.52355170498315,10-20%
AUDI_A3_All_Wheel_Drive,30.419045550111925,30-40%
AUDI_A3_Diesel,14.695537006312087,10-20%
AUDI_A3_Hybrid,16.411818149758698,10-20%
AUDI_A3_Petrol,17.680120592222845,10-20%
AUDI_A3_Total,9.140937351337671,<10%
AUDI_A4_All_Wheel_Drive,112.12296002713396,>40%
AUDI_A4_Hybrid,115.6985924984645,>40%
AUDI_A4_Petrol,133.40505352022646,>40%
AUDI_A4_Total,115.90822995667442,>40%
AUDI_A5_All_Wheel_Drive,25.308039796358877,20-30%
AUDI_A5_Convertibles,104.63161800882091,>40%
AUDI_A5_Diesel,66.66666666666666,>40%
AUDI_A5_Hybrid,23.031774863215034,20-30%
AUDI_A5_Petrol,68.69581746462599,>40%
AUDI_A5_Total,39.98905504885804,30-40%
AUDI_A6_All_Wheel_Drive,33.64775433082594,30-40%
AUDI_A6_Diesel,27.890433184835935,20-30%
AUDI_A6_Electric_BEV,143.30595911745377,>40%
AUDI_A6_Hybrid,20.01008622393907,20-30%
AUDI_A6_Petrol,83.53304035472063,>40%
AUDI_A6_Total,43.494980054152016,>40%
AUDI_A7_All_Wheel_Drive,12.612121975817617,10-20%
AUDI_A7_Hybrid,20.928456643414837,20-30%
AUDI_A7_Petrol,66.66666666666666,>40%
AUDI_A7_Total,18.37937830515357,10-20%
AUDI_A8_All_Wheel_Drive,56.60424752559021,>40%
AUDI_A8_Hybrid,56.2770348990141,>40%
AUDI_A8_Petrol,66.66666666666666,>40%
AUDI_A8_Total,57.16093781064853,>40%
AUDI_E-TRON GT_All_Wheel_Drive,47.50384175227379,>40%
AUDI_E-TRON GT_Electric_BEV,44.11777150302529,>40%
AUDI_E-TRON GT_Total,42.782377735983076,>40%
AUDI_Q2_All_Wheel_Drive,16.210754916563754,10-20%
AUDI_Q2_Diesel,25.96540648597834,20-30%
AUDI_Q2_Petrol,15.582613168748196,10-20%
AUDI_Q2_Total,20.799745842731465,20-30%
AUDI_Q3_All_Wheel_Drive,6.188288894684126,<10%
AUDI_Q3_Diesel,12.129155481794013,10-20%
AUDI_Q3_Hybrid,155.2233601693179,>40%
AUDI_Q3_Petrol,16.369146439688496,10-20%
AUDI_Q3_Total,18.547773850525896,10-20%
AUDI_Q4_All_Wheel_Drive,34.54204977378448,30-40%
AUDI_Q4_Electric_BEV,41.5810457850645,>40%
AUDI_Q4_Total,41.933300953281254,>40%
AUDI_Q5_All_Wheel_Drive,17.50557494206218,10-20%
AUDI_Q5_Diesel,144.31054760062014,>40%
AUDI_Q5_Hybrid,14.80022162202069,10-20%
AUDI_Q5_Petrol,120.1941164748704,>40%
AUDI_Q5_Total,17.048440291910406,10-20%
AUDI_Q6_All_Wheel_Drive,15.884901343212388,10-20%
AUDI_Q6_Electric_BEV,26.266745471962366,20-30%
AUDI_Q6_Total,31.56612743350124,30-40%
AUDI_Q7_All_Wheel_Drive,24.49275038607479,20-30%
AUDI_Q7_Diesel,66.66666666666666,>40%
AUDI_Q7_Hybrid,22.999782331386655,20-30%
AUDI_Q7_Petrol,21.260388914140236,20-30%
AUDI_Q7_Total,25.397856818098504,20-30%
AUDI_Q8_All_Wheel_Drive,12.982593975220466,10-20%
AUDI_Q8_Diesel,66.66666666666666,>40%
