ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_GIULIA_Diesel,200.0,>40%
ALFA ROMEO_GIULIA_Petrol,190.39590763442564,>40%
ALFA ROMEO_GIULIA_Total,200.0,>40%
ALFA ROMEO_JUNIOR_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_JUNIOR_Electric_BEV,200.0,>40%
ALFA ROMEO_JUNIOR_Hybrid,11.61303184694304,10-20%
ALFA ROMEO_JUNIOR_Total,12.406045928233707,10-20%
ALFA ROMEO_STELVIO_All_Wheel_Drive,82.98937847625255,>40%
ALFA ROMEO_STELVIO_Diesel,200.0,>40%
ALFA ROMEO_STELVIO_Petrol,200.0,>40%
ALFA ROMEO_STELVIO_Total,101.81236153873094,>40%
ALFA ROMEO_TONALE_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_TONALE_Diesel,200.0,>40%
ALFA ROMEO_TONALE_Hybrid,200.0,>40%
ALFA ROMEO_TONALE_Total,167.49926289057322,>40%
ALPINE_A110_Petrol,200.0,>40%
ALPINE_A110_Total,200.0,>40%
ALPINE_SONSTIGE_Petrol,133.33333333333331,>40%
ALPINE_SONSTIGE_Total,133.33333333333331,>40%
AUDI_A1_Petrol,7.161634153247596,<10%
AUDI_A1_Total,8.471854389081658,<10%
AUDI_A3_All_Wheel_Drive,17.394908940643088,10-20%
AUDI_A3_Diesel,57.15177288120802,>40%
AUDI_A3_Hybrid,14.20446278898553,10-20%
AUDI_A3_Petrol,25.142181281968167,20-30%
AUDI_A3_Total,14.472234681684437,10-20%
AUDI_A4_All_Wheel_Drive,175.25069452163865,>40%
AUDI_A4_Hybrid,200.0,>40%
AUDI_A4_Petrol,200.0,>40%
AUDI_A4_Total,200.0,>40%
AUDI_A5_All_Wheel_Drive,24.905349301098077,20-30%
AUDI_A5_Convertibles,66.66666666666666,>40%
AUDI_A5_Diesel,133.33333333333331,>40%
AUDI_A5_Hybrid,20.472001032610695,20-30%
AUDI_A5_Petrol,41.06738960491349,>40%
AUDI_A5_Total,19.53364015689224,10-20%
AUDI_A6_All_Wheel_Drive,20.060369949097826,20-30%
AUDI_A6_Diesel,133.33333333333331,>40%
AUDI_A6_Electric_BEV,39.696506277729334,30-40%
